Editorial,ISSN,eISSN,Título,Tipo,Descuento,Promotor
ACS,0001-4842 ,1520-4898,Accounts of Chemical Research,Híbrida,100,CRUE/CSIC
ACS,,2643-6728,Accounts of Materials Research,Híbrida,100,CRUE/CSIC
ACS,,2692-1952,ACS Agricultural Science & Technology,Híbrida,100,CRUE/CSIC
ACS, ,2576-6422,ACS Applied Bio Materials,Híbrida,100,CRUE/CSIC
ACS, ,2637-6113,ACS Applied Electronic Materials,Híbrida,100,CRUE/CSIC
ACS, ,2574-0962,ACS Applied Energy Materials,Híbrida,100,CRUE/CSIC
ACS,,2771-9545,ACS Applied Engineering Materials (New in 2023),Híbrida,100,CRUE/CSIC
ACS,1944-8244 ,1944-8252,ACS Applied Materials & Interfaces,Híbrida,100,CRUE/CSIC
ACS, ,2574-0970,ACS Applied Nano Materials,Híbrida,100,CRUE/CSIC
ACS,,2771-9855,ACS Applied Optical Materials (New in 2023),Híbrida,100,CRUE/CSIC
ACS, ,2637-6105,ACS Applied Polymer Materials,Híbrida,100,CRUE/CSIC
ACS,,2694-2437,ACS Bio & Med Chem Au1,Sólo Open Access,100. Si cuando se acepte el artículo no quedan licencias deben hacerse cargo los/as autores/as,CRUE/CSIC
ACS, ,2373-9878,ACS Biomaterials Science & Engineering,Híbrida,100,CRUE/CSIC
ACS, ,2155-5435,ACS Catalysis,Híbrida,100,CRUE/CSIC
ACS, ,2374-7951,ACS Central Science,Sólo Open Access,100. Si cuando se acepte el artículo no quedan licencias deben hacerse cargo los/as autores/as,CRUE/CSIC
ACS,1554-8929 ,1554-8937,ACS Chemical Biology,Híbrida,100,CRUE/CSIC
ACS,1871-5532,1878-0504,ACS Chemical Health & Safety,Híbrida,100,CRUE/CSIC
ACS, ,1948-7193,ACS Chemical Neuroscience,Híbrida,100,CRUE/CSIC
ACS,2156-8952,2156-8944,ACS Combinatorial Science4,Híbrida,100,CRUE/CSIC
ACS, ,2472-3452,ACS Earth and Space Chemistry,Híbrida,100,CRUE/CSIC
ACS, ,2380-8195,ACS Energy Letters ,Híbrida,100,CRUE/CSIC
ACS,,2694-2488,ACS Engineering Au1,Sólo Open Access,100. Si cuando se acepte el artículo no quedan licencias deben hacerse cargo los/as autores/as,CRUE/CSIC
ACS,,2694-2518,ACS Environmental Au1,Sólo Open Access,100. Si cuando se acepte el artículo no quedan licencias deben hacerse cargo los/as autores/as,CRUE/CSIC
ACS,,2837-1402,ACS ES&T Air (New in 2024),Híbrida,100,CRUE/CSIC
